"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 01 05:18:58 UTC 2026","Sun Mar 01 05:19:01 UTC 2026","3337","","Оформление заказа","","TC-024 Отмена оформления на первом шаге","","TC-024 Отмена оформления на первом шаге","  Как авторизованный пользователь с товарами в корзине
  Я хочу иметь возможность оформить заказ
  Чтобы купить товары"
"passed","Sun Mar 01 05:18:48 UTC 2026","Sun Mar 01 05:18:49 UTC 2026","987","","Авторизация пользователя","","TC-005 Вход с некорректными учетными данными","","TC-005 Вход с некорректными учетными данными","  Как пользователь SauceDemo
  Я хочу иметь возможность входить в систему
  Чтобы получить доступ к каталогу товаров"
"passed","Sun Mar 01 05:18:24 UTC 2026","Sun Mar 01 05:18:40 UTC 2026","15790","","Управление каталогом товаров","","TC-011 Переход на страницу детальной информации о товаре","","TC-011 Переход на страницу детальной информации о товаре","  Как авторизованный пользователь
  Я хочу иметь возможность просматривать товары
  Чтобы выбрать нужные для покупки"
"passed","Sun Mar 01 05:18:53 UTC 2026","Sun Mar 01 05:18:57 UTC 2026","4112","","Навигация по приложению","","TC-020 Навигация 'All Items' в бургер-меню","","TC-020 Навигация 'All Items' в бургер-меню","  Как авторизованный пользователь
  Я хочу иметь возможность перемещаться по приложению
  Чтобы эффективно использовать все функции"
"passed","Sun Mar 01 05:19:00 UTC 2026","Sun Mar 01 05:19:03 UTC 2026","2974","","Управление корзиной покупок","","TC-013 Добавление товара в корзину со страницы детальной информации","","TC-013 Добавление товара в корзину со страницы детальной информации","  Как авторизованный пользователь
  Я хочу иметь возможность управлять товарами в корзине
  Чтобы оформить заказ"
"passed","Sun Mar 01 05:18:53 UTC 2026","Sun Mar 01 05:18:56 UTC 2026","3014","","Управление корзиной покупок","","TC-017 Отображение товаров в корзине","","TC-017 Отображение товаров в корзине","  Как авторизованный пользователь
  Я хочу иметь возможность управлять товарами в корзине
  Чтобы оформить заказ"
"passed","Sun Mar 01 05:18:45 UTC 2026","Sun Mar 01 05:18:47 UTC 2026","1284","","Управление каталогом товаров","","TC-007 TC-008 TC-009 TC-010 Сортировка товаров","","TC-007 TC-008 TC-009 TC-010 Сортировка товаров","  Как авторизованный пользователь
  Я хочу иметь возможность просматривать товары
  Чтобы выбрать нужные для покупки"
"passed","Sun Mar 01 05:18:51 UTC 2026","Sun Mar 01 05:18:53 UTC 2026","2215","","Навигация по приложению","","TC-029 Logout через бургер-меню","","TC-029 Logout через бургер-меню","  Как авторизованный пользователь
  Я хочу иметь возможность перемещаться по приложению
  Чтобы эффективно использовать все функции"
"passed","Sun Mar 01 05:18:40 UTC 2026","Sun Mar 01 05:18:43 UTC 2026","2571","","Управление каталогом товаров","","TC-007 TC-008 TC-009 TC-010 Сортировка товаров","","TC-007 TC-008 TC-009 TC-010 Сортировка товаров","  Как авторизованный пользователь
  Я хочу иметь возможность просматривать товары
  Чтобы выбрать нужные для покупки"
"passed","Sun Mar 01 05:18:40 UTC 2026","Sun Mar 01 05:18:53 UTC 2026","13071","","Управление корзиной покупок","","TC-018 Удаление товара из корзины на странице корзины","","TC-018 Удаление товара из корзины на странице корзины","  Как авторизованный пользователь
  Я хочу иметь возможность управлять товарами в корзине
  Чтобы оформить заказ"
"passed","Sun Mar 01 05:19:02 UTC 2026","Sun Mar 01 05:19:15 UTC 2026","12373","","Управление корзиной покупок","","TC-014 Удаление товара из корзины через каталог","","TC-014 Удаление товара из корзины через каталог","  Как авторизованный пользователь
  Я хочу иметь возможность управлять товарами в корзине
  Чтобы оформить заказ"
"passed","Sun Mar 01 05:18:41 UTC 2026","Sun Mar 01 05:18:54 UTC 2026","13320","","Оформление заказа","","TC-027 Возврат к покупкам после успешного оформления","","TC-027 Возврат к покупкам после успешного оформления","  Как авторизованный пользователь с товарами в корзине
  Я хочу иметь возможность оформить заказ
  Чтобы купить товары"
"passed","Sun Mar 01 05:18:55 UTC 2026","Sun Mar 01 05:18:59 UTC 2026","3894","","Оформление заказа","","TC-020 Успешное оформление заказа","","TC-020 Успешное оформление заказа","  Как авторизованный пользователь с товарами в корзине
  Я хочу иметь возможность оформить заказ
  Чтобы купить товары"
"passed","Sun Mar 01 05:18:52 UTC 2026","Sun Mar 01 05:18:55 UTC 2026","2548","","Авторизация пользователя","","TC-001 Успешный вход с корректными учетными данными","","TC-001 Успешный вход с корректными учетными данными","  Как пользователь SauceDemo
  Я хочу иметь возможность входить в систему
  Чтобы получить доступ к каталогу товаров"
"passed","Sun Mar 01 05:18:24 UTC 2026","Sun Mar 01 05:18:41 UTC 2026","16639","","Оформление заказа","","TC-025 Проверка корректности расчета общей суммы заказа","","TC-025 Проверка корректности расчета общей суммы заказа","  Как авторизованный пользователь с товарами в корзине
  Я хочу иметь возможность оформить заказ
  Чтобы купить товары"
"passed","Sun Mar 01 05:18:56 UTC 2026","Sun Mar 01 05:18:59 UTC 2026","3010","","Управление корзиной покупок","","TC-016 Переход в корзину через иконку корзины","","TC-016 Переход в корзину через иконку корзины","  Как авторизованный пользователь
  Я хочу иметь возможность управлять товарами в корзине
  Чтобы оформить заказ"
"passed","Sun Mar 01 05:18:59 UTC 2026","Sun Mar 01 05:19:02 UTC 2026","3526","","Оформление заказа","","TC-021 TC-022 TC-023 Валидация обязательных полей","","TC-021 TC-022 TC-023 Валидация обязательных полей","  Как авторизованный пользователь с товарами в корзине
  Я хочу иметь возможность оформить заказ
  Чтобы купить товары"
"passed","Sun Mar 01 05:19:01 UTC 2026","Sun Mar 01 05:19:05 UTC 2026","3217","","Оформление заказа","","TC-021 TC-022 TC-023 Валидация обязательных полей","","TC-021 TC-022 TC-023 Валидация обязательных полей","  Как авторизованный пользователь с товарами в корзине
  Я хочу иметь возможность оформить заказ
  Чтобы купить товары"
"passed","Sun Mar 01 05:18:44 UTC 2026","Sun Mar 01 05:18:45 UTC 2026","1374","","Управление каталогом товаров","","TC-007 TC-008 TC-009 TC-010 Сортировка товаров","","TC-007 TC-008 TC-009 TC-010 Сортировка товаров","  Как авторизованный пользователь
  Я хочу иметь возможность просматривать товары
  Чтобы выбрать нужные для покупки"
"passed","Sun Mar 01 05:18:24 UTC 2026","Sun Mar 01 05:18:40 UTC 2026","15952","","Управление корзиной покупок","","TC-019 Кнопка 'Continue Shopping' в корзине","","TC-019 Кнопка 'Continue Shopping' в корзине","  Как авторизованный пользователь
  Я хочу иметь возможность управлять товарами в корзине
  Чтобы оформить заказ"
